mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_degree,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2434.513696829478,483.0201870638971,0.8788866202036539,0.034029935104992755,1000.0,0.01,2,linear,"{'C': 1000.0, 'coef0': 0.01, 'degree': 2, 'kernel': 'linear'}",-1.76042344970982,-2.782656267819909,-3.640407006113952,-2.727828907881227,0.7684786150292306,37
2.0101396242777505,0.4408626658092517,1.1629308064778645,0.3373296214258041,1000.0,0.01,2,rbf,"{'C': 1000.0, 'coef0': 0.01, 'degree': 2, 'kernel': 'rbf'}",-0.6226271849422436,-0.34571270354968014,-1.8425395274020986,-0.9369598052980074,0.6502442527316538,28
1.7696417967478435,0.01697589013691142,0.38760677973429364,0.06324367050393753,1000.0,0.01,2,poly,"{'C': 1000.0, 'coef0': 0.01, 'degree': 2, 'kernel': 'poly'}",-0.6181912848068951,-0.35708958056867834,-1.8547182524084742,-0.9433330392613493,0.6532027658884328,36
2517.7345731258392,444.41887431516074,0.9332722028096517,0.0880564964634178,1000.0,0.01,3,linear,"{'C': 1000.0, 'coef0': 0.01, 'degree': 3, 'kernel': 'linear'}",-1.76042344970982,-2.782656267819909,-3.640407006113952,-2.727828907881227,0.7684786150292306,37
2.213207403818766,0.33850888552731134,1.1789439519246419,0.4272268305731509,1000.0,0.01,3,rbf,"{'C': 1000.0, 'coef0': 0.01, 'degree': 3, 'kernel': 'rbf'}",-0.6226271849422436,-0.34571270354968014,-1.8425395274020986,-0.9369598052980074,0.6502442527316538,28
2.605178197224935,0.03369141857108797,0.48570990562438965,0.022368197312648313,1000.0,0.01,3,poly,"{'C': 1000.0, 'coef0': 0.01, 'degree': 3, 'kernel': 'poly'}",-0.6128832444237144,-0.3471789789300494,-1.8399061517365924,-0.9333227916967854,0.6501639437870942,27
2580.4628516832986,527.9499406672312,0.9460790952046713,0.07392621520659295,1000.0,0.05,2,linear,"{'C': 1000.0, 'coef0': 0.05, 'degree': 2, 'kernel': 'linear'}",-1.76042344970982,-2.782656267819909,-3.640407006113952,-2.727828907881227,0.7684786150292306,37
2.3519821166992188,0.1604483425962169,1.0255935192108154,0.06727660652939332,1000.0,0.05,2,rbf,"{'C': 1000.0, 'coef0': 0.05, 'degree': 2, 'kernel': 'rbf'}",-0.6226271849422436,-0.34571270354968014,-1.8425395274020986,-0.9369598052980074,0.6502442527316538,28
2.288472334543864,0.13751909934421697,0.45180169741312665,0.03150915963213907,1000.0,0.05,2,poly,"{'C': 1000.0, 'coef0': 0.05, 'degree': 2, 'kernel': 'poly'}",-0.618062441488433,-0.35623998729142203,-1.853313860550019,-0.9425387631099581,0.6528252486784657,35
2500.5879685084024,511.3799787671059,0.9472039540608724,0.15356332037201995,1000.0,0.05,3,linear,"{'C': 1000.0, 'coef0': 0.05, 'degree': 3, 'kernel': 'linear'}",-1.76042344970982,-2.782656267819909,-3.640407006113952,-2.727828907881227,0.7684786150292306,37
2.171356678009033,0.1730577238272783,0.8473183314005533,0.020435820466488546,1000.0,0.05,3,rbf,"{'C': 1000.0, 'coef0': 0.05, 'degree': 3, 'kernel': 'rbf'}",-0.6226271849422436,-0.34571270354968014,-1.8425395274020986,-0.9369598052980074,0.6502442527316538,28
2.1841397285461426,0.06239225158255375,0.405637264251709,0.05332052898840692,1000.0,0.05,3,poly,"{'C': 1000.0, 'coef0': 0.05, 'degree': 3, 'kernel': 'poly'}",-0.6126607444269389,-0.34422603158833304,-1.8382570659693338,-0.9317146139948687,0.6503223363266829,26
2479.919515053431,504.3021183600147,0.8180476824442545,0.03211983639581186,1000.0,0.1,2,linear,"{'C': 1000.0, 'coef0': 0.1, 'degree': 2, 'kernel': 'linear'}",-1.76042344970982,-2.782656267819909,-3.640407006113952,-2.727828907881227,0.7684786150292306,37
2.217077891031901,0.08278732308222037,1.0583089192708333,0.14901442442672724,1000.0,0.1,2,rbf,"{'C': 1000.0, 'coef0': 0.1, 'degree': 2, 'kernel': 'rbf'}",-0.6226271849422436,-0.34571270354968014,-1.8425395274020986,-0.9369598052980074,0.6502442527316538,28
2.1581313610076904,0.04221317873847662,0.4818538824717204,0.0538709738346605,1000.0,0.1,2,poly,"{'C': 1000.0, 'coef0': 0.1, 'degree': 2, 'kernel': 'poly'}",-0.6178292532046615,-0.35522946237008285,-1.8522817314459203,-0.9417801490068882,0.6526865052762453,34
2536.45423634847,530.6756599192802,1.248623212178548,0.38222517944308765,1000.0,0.1,3,linear,"{'C': 1000.0, 'coef0': 0.1, 'degree': 3, 'kernel': 'linear'}",-1.76042344970982,-2.782656267819909,-3.640407006113952,-2.727828907881227,0.7684786150292306,37
2.386869748433431,0.3759299154002656,0.9318487644195557,0.04604466120745996,1000.0,0.1,3,rbf,"{'C': 1000.0, 'coef0': 0.1, 'degree': 3, 'kernel': 'rbf'}",-0.6226271849422436,-0.34571270354968014,-1.8425395274020986,-0.9369598052980074,0.6502442527316538,28
2.3363567193349204,0.16451276913860594,0.42747998237609863,0.04307605079568553,1000.0,0.1,3,poly,"{'C': 1000.0, 'coef0': 0.1, 'degree': 3, 'kernel': 'poly'}",-0.6135416964017696,-0.3423318737285313,-1.8339894009725908,-0.9299543237009639,0.6487671681385393,25
4559.932317892711,1628.1387942830431,1.3872116406758626,0.12442756915688162,10000.0,0.01,2,linear,"{'C': 10000.0, 'coef0': 0.01, 'degree': 2, 'kernel': 'linear'}",-190.133304041402,-172.89905665604644,-141.36614446339496,-168.13283505361446,20.192351928379843,43
